sample_id,label,baseline_name,event_date,new_unique_id,firm_document_identity,origin_split,public_before_origin,annual_2022,source_selection_matches,listed_at_origin,baseline_not_ST,registry_label_matches,event_date_matches,negative_full_followup,label_available,only_industry_outstanding,financial_certified,text_certified,financial_source_values,ratios_recomputed,consolidated_yuan,current_period_headers,text_nonempty,chunk_roundtrip,pdf_hash_matches,status,failed_checks
000739.SZ:2023,0,普洛药业,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000786.SZ:2023,0,北新建材,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000797.SZ:2023,0,中国武夷,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000800.SZ:2023,0,一汽解放,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000807.SZ:2023,0,云铝股份,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000821.SZ:2023,0,京山轻机,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000823.SZ:2023,0,超声电子,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000830.SZ:2023,0,鲁西化工,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000850.SZ:2023,0,华茂股份,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000861.SZ:2023,0,海印股份,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000868.SZ:2023,0,安凯客车,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000890.SZ:2023,0,法尔胜,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000897.SZ:2023,0,津滨发展,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000903.SZ:2023,0,云内动力,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000920.SZ:2023,0,沃顿科技,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000925.SZ:2023,0,众合科技,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000933.SZ:2023,0,神火股份,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000937.SZ:2023,0,冀中能源,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000982.SZ:2023,0,中银绒业,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000989.SZ:2023,1,九 芝 堂,2024-04-26,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
000990.SZ:2023,0,诚志股份,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002014.SZ:2023,0,永新股份,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002016.SZ:2023,0,世荣兆业,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002027.SZ:2023,0,分众传媒,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002033.SZ:2023,0,丽江股份,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002039.SZ:2023,0,黔源电力,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002040.SZ:2023,0,南 京 港,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002046.SZ:2023,0,国机精工,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002050.SZ:2023,0,三花智控,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002053.SZ:2023,0,云南能投,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002056.SZ:2023,0,横店东磁,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002064.SZ:2023,0,华峰化学,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002092.SZ:2023,0,中泰化学,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002110.SZ:2023,0,三钢闽光,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002112.SZ:2023,0,三变科技,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002117.SZ:2023,0,东港股份,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002120.SZ:2023,0,韵达股份,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002121.SZ:2023,0,科陆电子,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002125.SZ:2023,0,湘潭电化,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002140.SZ:2023,0,东华科技,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002141.SZ:2023,1,贤丰控股,2024-04-29,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002154.SZ:2023,0,报 喜 鸟,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002160.SZ:2023,0,常铝股份,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002169.SZ:2023,0,智光电气,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002181.SZ:2023,0,粤 传 媒,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002185.SZ:2023,0,华天科技,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002198.SZ:2023,0,嘉应制药,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002212.SZ:2023,0,天融信,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002223.SZ:2023,0,鱼跃医疗,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002224.SZ:2023,0,三 力 士,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002227.SZ:2023,0,奥 特 迅,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002246.SZ:2023,0,北化股份,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002249.SZ:2023,0,大洋电机,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002254.SZ:2023,0,泰和新材,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002255.SZ:2023,0,海陆重工,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002256.SZ:2023,0,兆新股份,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002265.SZ:2023,0,西仪股份,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002267.SZ:2023,0,陕天然气,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002271.SZ:2023,0,东方雨虹,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002272.SZ:2023,0,川润股份,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002275.SZ:2023,0,桂林三金,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002286.SZ:2023,0,保龄宝,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002290.SZ:2023,0,禾盛新材,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002293.SZ:2023,0,罗莱生活,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002294.SZ:2023,0,信立泰,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002297.SZ:2023,0,博云新材,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002308.SZ:2023,0,威创股份,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002310.SZ:2023,1,东方园林,2024-04-30,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002316.SZ:2023,0,亚联发展,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002320.SZ:2023,0,海峡股份,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002325.SZ:2023,0,洪涛股份,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002332.SZ:2023,0,仙琚制药,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002340.SZ:2023,0,格林美,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002346.SZ:2023,0,柘中股份,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002350.SZ:2023,0,北京科锐,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002360.SZ:2023,0,同德化工,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002364.SZ:2023,0,中恒电气,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002365.SZ:2023,0,永安药业,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002374.SZ:2023,0,中锐股份,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002378.SZ:2023,0,章源钨业,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002380.SZ:2023,0,科远智慧,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002382.SZ:2023,0,蓝帆医疗,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002384.SZ:2023,0,东山精密,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002391.SZ:2023,0,长青股份,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002396.SZ:2023,0,星网锐捷,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002402.SZ:2023,0,和而泰,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002405.SZ:2023,0,四维图新,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002410.SZ:2023,0,广联达,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002413.SZ:2023,0,雷科防务,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002426.SZ:2023,0,胜利精密,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
002429.SZ:2023,0,兆驰股份,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,pass,
