sample_id,firm_id,origin,split,decision,document_id,annual_feature_count,candidate_feature_values,verified_feature_values,text_candidate,text_verified,label,industry_status,membership_verified,baseline_ST_verified,registry_label_verified,label_available_date,input_certified,financial_certified,financial_verification_tier,text_verification_tier,unresolved_requirements,baseline_ST_lead,new_ST_followup_lead,lead_is_verified_label,analytical_eligible,reason
000018.SZ:2018,000018.SZ,2018-05-01,train,pending,1204740521,12,12,0,True,True,0,verified_nonfinancial,True,True,True,2019-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000018.SZ:2019,000018.SZ,2019-05-01,train,pending,1206166751,12,12,0,True,True,1,verified_nonfinancial,True,True,True,2019-05-06,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,1,False,False,ST_history_label_and_input_certification_pending
000019.SZ:2017,000019.SZ,2017-05-01,train,pending,1203359661,12,12,0,True,True,0,verified_nonfinancial,True,True,True,2018-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000019.SZ:2018,000019.SZ,2018-05-01,train,pending,1204702256,12,12,0,True,True,0,verified_nonfinancial,True,True,True,2019-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000019.SZ:2019,000019.SZ,2019-05-01,train,pending,1206121598,12,12,0,True,True,0,verified_nonfinancial,True,True,True,2020-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000019.SZ:2020,000019.SZ,2020-05-01,train,pending,1207642502,12,3,0,True,True,0,verified_nonfinancial,True,True,True,2021-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000019.SZ:2021,000019.SZ,2021-05-01,train,pending,1209814303,12,3,0,True,True,0,verified_nonfinancial,True,True,True,2022-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000019.SZ:2022,000019.SZ,2022-05-01,validation,pending,1213109169,12,3,0,True,True,0,verified_nonfinancial,True,True,True,2023-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000019.SZ:2023,000019.SZ,2023-05-01,validation,pending,1216603127,12,12,0,True,True,0,pending,True,True,True,2024-04-30,True,True,rule_based_source_checks_not_manual_review,rule_based_source_checks_not_manual_review,historical_industry,0,0,False,False,ST_history_label_and_input_certification_pending
000019.SZ:2024,000019.SZ,2024-05-01,test,eligible_awaiting_freeze,1219623707,12,12,0,True,True,0,verified_nonfinancial,True,True,True,2025-04-30,True,True,rule_based_source_checks_not_manual_review,rule_based_source_checks_not_manual_review,,0,0,False,True,Annual financial/text inputs and registry-defined endpoint verified; full-cohort freeze pending.
000019.SZ:2025,000019.SZ,2025-05-01,test,pending,1223375162,12,12,0,True,True,0,verified_nonfinancial,True,True,True,2026-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000021.SZ:2017,000021.SZ,2017-05-01,train,pending,1203236427,12,0,0,True,True,0,verified_nonfinancial,True,True,True,2018-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000021.SZ:2018,000021.SZ,2018-05-01,train,pending,1204616381,12,0,0,True,True,0,verified_nonfinancial,True,True,True,2019-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000021.SZ:2019,000021.SZ,2019-05-01,train,pending,1206057667,12,0,0,True,True,0,verified_nonfinancial,True,True,True,2020-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000021.SZ:2020,000021.SZ,2020-05-01,train,pending,1207586104,12,0,0,True,True,0,verified_nonfinancial,True,True,True,2021-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000021.SZ:2021,000021.SZ,2021-05-01,train,pending,1209867302,12,0,0,True,True,0,verified_nonfinancial,True,True,True,2022-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000021.SZ:2022,000021.SZ,2022-05-01,validation,pending,1213001411,12,0,0,True,True,0,verified_nonfinancial,True,True,True,2023-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000021.SZ:2023,000021.SZ,2023-05-01,validation,pending,1216497188,12,0,0,True,True,0,pending,True,True,True,2024-04-30,False,False,none,rule_based_source_checks_not_manual_review,historical_industry;annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000021.SZ:2024,000021.SZ,2024-05-01,test,pending,1219568873,12,0,0,True,True,0,verified_nonfinancial,True,True,True,2025-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000021.SZ:2025,000021.SZ,2025-05-01,test,pending,1223270327,12,0,0,True,True,0,verified_nonfinancial,True,True,True,2026-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000027.SZ:2017,000027.SZ,2017-05-01,train,pending,1203263338,12,0,0,True,True,0,verified_nonfinancial,True,True,True,2018-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000027.SZ:2018,000027.SZ,2018-05-01,train,pending,1204623333,12,0,0,True,True,0,verified_nonfinancial,True,True,True,2019-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000027.SZ:2019,000027.SZ,2019-05-01,train,pending,1205993484,12,0,0,True,True,0,verified_nonfinancial,True,True,True,2020-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000027.SZ:2020,000027.SZ,2020-05-01,train,pending,1207679768,12,0,0,True,True,0,verified_nonfinancial,True,True,True,2021-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000027.SZ:2021,000027.SZ,2021-05-01,train,pending,1209725938,12,0,0,True,True,0,verified_nonfinancial,True,True,True,2022-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000027.SZ:2022,000027.SZ,2022-05-01,validation,pending,1213028283,12,0,0,True,False,0,verified_nonfinancial,True,True,True,2023-04-30,False,False,none,none,annual_financial_certification;annual_text_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000027.SZ:2023,000027.SZ,2023-05-01,validation,pending,1216476759,12,0,0,True,True,0,pending,True,True,True,2024-04-30,False,False,none,rule_based_source_checks_not_manual_review,historical_industry;annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000027.SZ:2024,000027.SZ,2024-05-01,test,pending,1219696841,12,0,0,True,True,0,verified_nonfinancial,True,True,True,2025-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000027.SZ:2025,000027.SZ,2025-05-01,test,pending,1223126126,12,0,0,True,True,0,verified_nonfinancial,True,True,True,2026-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000031.SZ:2017,000031.SZ,2017-05-01,train,pending,1203174237,12,0,0,True,False,0,verified_nonfinancial,True,True,True,2018-04-30,False,False,none,none,annual_financial_certification;annual_text_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000031.SZ:2018,000031.SZ,2018-05-01,train,pending,1204486228,12,0,0,True,False,0,verified_nonfinancial,True,True,True,2019-04-30,False,False,none,none,annual_financial_certification;annual_text_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000031.SZ:2019,000031.SZ,2019-05-01,train,pending,1205993658,12,0,0,True,False,0,verified_nonfinancial,True,True,True,2020-04-30,False,False,none,none,annual_financial_certification;annual_text_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000031.SZ:2020,000031.SZ,2020-05-01,train,pending,1207429802,12,0,0,True,False,0,verified_nonfinancial,True,True,True,2021-04-30,False,False,none,none,annual_financial_certification;annual_text_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000031.SZ:2021,000031.SZ,2021-05-01,train,pending,1209464144,12,0,0,True,True,0,verified_nonfinancial,True,True,True,2022-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000031.SZ:2022,000031.SZ,2022-05-01,validation,pending,1212886659,12,0,0,True,True,0,verified_nonfinancial,True,True,True,2023-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000031.SZ:2023,000031.SZ,2023-05-01,validation,pending,1216587088,12,0,0,True,True,0,pending,True,True,True,2024-04-30,False,False,none,rule_based_source_checks_not_manual_review,historical_industry;annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000031.SZ:2024,000031.SZ,2024-05-01,test,pending,1219863705,12,0,0,True,False,0,verified_nonfinancial,True,True,True,2025-04-30,False,False,none,none,annual_financial_certification;annual_text_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000031.SZ:2025,000031.SZ,2025-05-01,test,pending,1223153545,12,0,0,True,False,0,verified_nonfinancial,True,True,True,2026-04-30,False,False,none,none,annual_financial_certification;annual_text_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000040.SZ:2017,000040.SZ,2017-05-01,train,pending,1203095117,12,12,0,True,True,0,verified_nonfinancial,True,True,True,2018-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000040.SZ:2018,000040.SZ,2018-05-01,train,pending,1204740858,12,0,0,True,True,0,verified_nonfinancial,True,True,True,2019-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000040.SZ:2019,000040.SZ,2019-05-01,train,pending,1206164100,12,0,0,True,True,0,verified_nonfinancial,True,True,True,2020-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000040.SZ:2020,000040.SZ,2020-05-01,train,pending,,12,0,0,False,False,0,verified_nonfinancial,True,True,True,2021-04-30,False,False,none,none,annual_financial_certification;annual_text_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000040.SZ:2021,000040.SZ,2021-05-01,train,eligible_awaiting_freeze,1209872281,12,12,0,True,True,0,verified_nonfinancial,True,True,True,2022-04-30,True,True,rule_based_source_checks_not_manual_review,rule_based_source_checks_not_manual_review,,0,0,False,True,Annual financial/text inputs and registry-defined endpoint verified; full-cohort freeze pending.
000040.SZ:2022,000040.SZ,2022-05-01,validation,eligible_awaiting_freeze,1213139374,12,12,0,True,True,0,verified_nonfinancial,True,True,True,2023-04-30,True,True,rule_based_source_checks_not_manual_review,rule_based_source_checks_not_manual_review,,0,0,False,True,Annual financial/text inputs and registry-defined endpoint verified; full-cohort freeze pending.
000040.SZ:2023,000040.SZ,2023-05-01,validation,pending,,12,0,0,False,False,0,pending,True,True,True,2024-04-30,False,False,none,none,historical_industry;annual_financial_certification;annual_text_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000040.SZ:2024,000040.SZ,2024-05-01,test,pending,,12,0,0,False,False,1,verified_nonfinancial,True,True,True,2024-07-09,False,False,none,none,annual_financial_certification;annual_text_certification,0,1,False,False,ST_history_label_and_input_certification_pending
000042.SZ:2017,000042.SZ,2017-05-01,train,pending,1203425381,12,0,0,True,True,0,verified_nonfinancial,True,True,True,2018-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000042.SZ:2018,000042.SZ,2018-05-01,train,pending,1204805604,12,3,0,True,True,0,verified_nonfinancial,True,True,True,2019-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000042.SZ:2019,000042.SZ,2019-05-01,train,pending,1206015485,12,1,0,True,True,0,verified_nonfinancial,True,True,True,2020-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000042.SZ:2020,000042.SZ,2020-05-01,train,pending,1207638532,12,1,0,True,True,0,verified_nonfinancial,True,True,True,2021-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000042.SZ:2021,000042.SZ,2021-05-01,train,pending,1209676546,12,1,0,True,True,0,verified_nonfinancial,True,True,True,2022-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000042.SZ:2022,000042.SZ,2022-05-01,validation,pending,1212898226,12,1,0,True,True,0,verified_nonfinancial,True,True,True,2023-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000042.SZ:2023,000042.SZ,2023-05-01,validation,pending,1216380219,12,1,0,True,True,0,pending,True,True,True,2024-04-30,False,False,none,rule_based_source_checks_not_manual_review,historical_industry;annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000042.SZ:2024,000042.SZ,2024-05-01,test,pending,1219769062,12,0,0,True,True,0,verified_nonfinancial,True,True,True,2025-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000042.SZ:2025,000042.SZ,2025-05-01,test,pending,1223318957,12,1,0,True,True,0,verified_nonfinancial,True,True,True,2026-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000048.SZ:2017,000048.SZ,2017-05-01,train,pending,1203402385,12,12,0,True,True,0,verified_nonfinancial,True,True,True,2018-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000048.SZ:2018,000048.SZ,2018-05-01,train,pending,,12,0,0,False,False,1,verified_nonfinancial,True,True,True,2018-07-02,False,False,none,none,annual_financial_certification;annual_text_certification,0,1,False,False,ST_history_label_and_input_certification_pending
000048.SZ:2019,000048.SZ,2019-05-01,train,excluded,,12,0,0,False,False,,verified_nonfinancial,True,False,False,,False,False,none,none,,1,0,False,False,preorigin_financial_industry_or_confirmed_baseline_ST
000048.SZ:2020,000048.SZ,2020-05-01,train,pending,1207681445,12,3,0,True,True,0,verified_nonfinancial,True,True,True,2021-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000048.SZ:2021,000048.SZ,2021-05-01,train,pending,1209454384,12,3,0,True,True,0,verified_nonfinancial,True,True,True,2022-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000048.SZ:2022,000048.SZ,2022-05-01,validation,pending,1212582122,12,3,0,True,True,0,verified_nonfinancial,True,True,True,2023-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000048.SZ:2023,000048.SZ,2023-05-01,validation,pending,1216116016,12,12,0,True,True,0,pending,True,True,True,2024-04-30,True,True,rule_based_source_checks_not_manual_review,rule_based_source_checks_not_manual_review,historical_industry,0,0,False,False,ST_history_label_and_input_certification_pending
000048.SZ:2024,000048.SZ,2024-05-01,test,pending,,12,0,0,False,False,0,verified_nonfinancial,True,True,True,2025-04-30,False,False,none,none,annual_financial_certification;annual_text_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000048.SZ:2025,000048.SZ,2025-05-01,test,pending,1222944754,12,12,0,True,True,0,verified_nonfinancial,True,True,True,2026-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000055.SZ:2017,000055.SZ,2017-05-01,train,pending,1203372997,12,12,0,True,True,0,verified_nonfinancial,True,True,True,2018-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000055.SZ:2018,000055.SZ,2018-05-01,train,pending,1204698638,12,12,0,True,True,0,verified_nonfinancial,True,True,True,2019-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000055.SZ:2019,000055.SZ,2019-05-01,train,pending,1205811591,12,12,0,True,True,0,verified_nonfinancial,True,True,True,2020-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000055.SZ:2020,000055.SZ,2020-05-01,train,pending,1207525131,12,3,0,True,True,0,verified_nonfinancial,True,True,True,2021-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000055.SZ:2021,000055.SZ,2021-05-01,train,pending,1209427315,12,3,0,True,True,0,verified_nonfinancial,True,True,True,2022-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000055.SZ:2022,000055.SZ,2022-05-01,validation,pending,1212725894,12,3,0,True,True,0,verified_nonfinancial,True,True,True,2023-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000055.SZ:2023,000055.SZ,2023-05-01,validation,pending,1215991129,12,12,0,True,True,0,pending,True,True,True,2024-04-30,True,True,rule_based_source_checks_not_manual_review,rule_based_source_checks_not_manual_review,historical_industry,0,0,False,False,ST_history_label_and_input_certification_pending
000055.SZ:2024,000055.SZ,2024-05-01,test,eligible_awaiting_freeze,1219492459,12,12,0,True,True,0,verified_nonfinancial,True,True,True,2025-04-30,True,True,rule_based_source_checks_not_manual_review,rule_based_source_checks_not_manual_review,,0,0,False,True,Annual financial/text inputs and registry-defined endpoint verified; full-cohort freeze pending.
000055.SZ:2025,000055.SZ,2025-05-01,test,pending,1223185494,12,12,0,True,True,0,verified_nonfinancial,True,True,True,2026-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000068.SZ:2017,000068.SZ,2017-05-01,train,pending,1203185295,12,12,0,True,True,0,verified_nonfinancial,True,True,True,2018-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000068.SZ:2018,000068.SZ,2018-05-01,train,pending,1204642137,12,12,0,True,True,0,verified_nonfinancial,True,True,True,2019-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000068.SZ:2019,000068.SZ,2019-05-01,train,pending,1206062179,12,12,0,True,True,0,verified_nonfinancial,True,True,True,2020-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000068.SZ:2020,000068.SZ,2020-05-01,train,eligible_awaiting_freeze,1207645170,12,12,0,True,True,0,verified_nonfinancial,True,True,True,2021-04-30,True,True,rule_based_source_checks_not_manual_review,rule_based_source_checks_not_manual_review,,0,0,False,True,Annual financial/text inputs and registry-defined endpoint verified; full-cohort freeze pending.
000068.SZ:2021,000068.SZ,2021-05-01,train,pending,1209813866,12,3,0,True,True,0,verified_nonfinancial,True,True,True,2022-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000068.SZ:2022,000068.SZ,2022-05-01,validation,pending,1212512239,12,3,0,True,True,0,verified_nonfinancial,True,True,True,2023-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000068.SZ:2023,000068.SZ,2023-05-01,validation,pending,1216701006,12,12,0,True,True,0,pending,True,True,True,2024-04-30,True,True,rule_based_source_checks_not_manual_review,rule_based_source_checks_not_manual_review,historical_industry,0,0,False,False,ST_history_label_and_input_certification_pending
000068.SZ:2024,000068.SZ,2024-05-01,test,pending,1219429623,12,0,0,True,True,0,verified_nonfinancial,True,True,True,2025-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000068.SZ:2025,000068.SZ,2025-05-01,test,pending,1222807544,12,12,0,True,True,0,verified_nonfinancial,True,True,True,2026-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000099.SZ:2017,000099.SZ,2017-05-01,train,pending,1203180378,12,12,0,True,True,0,verified_nonfinancial,True,True,True,2018-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000099.SZ:2018,000099.SZ,2018-05-01,train,pending,1204517220,12,12,0,True,True,0,verified_nonfinancial,True,True,True,2019-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000099.SZ:2019,000099.SZ,2019-05-01,train,pending,1205912432,12,12,0,True,True,0,verified_nonfinancial,True,True,True,2020-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000099.SZ:2020,000099.SZ,2020-05-01,train,pending,1207393259,12,3,0,True,True,0,verified_nonfinancial,True,True,True,2021-04-30,False,False,none,rule_based_source_checks_not_manual_review,annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000099.SZ:2021,000099.SZ,2021-05-01,train,eligible_awaiting_freeze,1209472904,12,12,0,True,True,0,verified_nonfinancial,True,True,True,2022-04-30,True,True,rule_based_source_checks_not_manual_review,rule_based_source_checks_not_manual_review,,0,0,False,True,Annual financial/text inputs and registry-defined endpoint verified; full-cohort freeze pending.
000099.SZ:2022,000099.SZ,2022-05-01,validation,eligible_awaiting_freeze,1212687423,12,12,0,True,True,0,verified_nonfinancial,True,True,True,2023-04-30,True,True,rule_based_source_checks_not_manual_review,rule_based_source_checks_not_manual_review,,0,0,False,True,Annual financial/text inputs and registry-defined endpoint verified; full-cohort freeze pending.
000099.SZ:2023,000099.SZ,2023-05-01,validation,pending,1216191084,12,12,0,True,True,0,pending,True,True,True,2024-04-30,True,True,rule_based_source_checks_not_manual_review,rule_based_source_checks_not_manual_review,historical_industry,0,0,False,False,ST_history_label_and_input_certification_pending
000099.SZ:2024,000099.SZ,2024-05-01,test,pending,1219328401,12,12,0,False,False,0,verified_nonfinancial,True,True,True,2025-04-30,False,True,rule_based_source_checks_not_manual_review,none,annual_text_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000099.SZ:2025,000099.SZ,2025-05-01,test,pending,1222821612,12,12,0,False,False,0,verified_nonfinancial,True,True,True,2026-04-30,False,False,none,none,annual_financial_certification;annual_text_certification,0,0,False,False,ST_history_label_and_input_certification_pending
000166.SZ:2018,000166.SZ,2018-05-01,train,excluded,,12,0,0,False,False,,excluded_financial,True,True,True,2019-04-30,False,False,none,none,,0,0,False,False,preorigin_financial_industry_or_confirmed_baseline_ST
000166.SZ:2019,000166.SZ,2019-05-01,train,excluded,,12,0,0,False,False,,excluded_financial,True,True,True,2020-04-30,False,False,none,none,,0,0,False,False,preorigin_financial_industry_or_confirmed_baseline_ST
000166.SZ:2020,000166.SZ,2020-05-01,train,excluded,,12,0,0,False,False,,excluded_financial,True,True,True,2021-04-30,False,False,none,none,,0,0,False,False,preorigin_financial_industry_or_confirmed_baseline_ST
000166.SZ:2021,000166.SZ,2021-05-01,train,excluded,,12,0,0,False,False,,excluded_financial,True,True,True,2022-04-30,False,False,none,none,,0,0,False,False,preorigin_financial_industry_or_confirmed_baseline_ST
000166.SZ:2022,000166.SZ,2022-05-01,validation,excluded,,12,0,0,False,False,,excluded_financial,True,True,True,2023-04-30,False,False,none,none,,0,0,False,False,preorigin_financial_industry_or_confirmed_baseline_ST
000166.SZ:2023,000166.SZ,2023-05-01,validation,pending,1216276587,12,0,0,True,True,0,pending,True,True,True,2024-04-30,False,False,none,rule_based_source_checks_not_manual_review,historical_industry;annual_financial_certification,0,0,False,False,ST_history_label_and_input_certification_pending
